,GarageId,GarageName,GarageAddress
868,1770,静安中华大厦停车库,北京西路1701号
869,2065,光通大厦停车场,南京西路692号
870,2066,上海国际贵都大饭店 停车场（库）,延安西路65号
871,2067,国旅大厦停车场,北京西路1277号
872,2068,恒隆广场停车库,南京西路1266号
873,2069,马勒别墅停车场（库）,陕西南路2号
874,2071,环球大厦停车场,愚园路172号
875,2092,金航大厦停车库,万航渡路83号
876,2093,华山医院停车场（库）,乌鲁木齐中路12号
877,2098,会德丰国际广场停车库,南京西路1717号
878,2103,吉臣酒店停车库,万航渡路818号
879,2104,江宁地下停车库,江宁路428号
880,2105,金鹰国际购物广场停车库,陕西北路278号
881,2106,招商局广场停车库,成都北路333号
882,2107,静安嘉里中心停车库,南京西路1515号
883,2108,时美大厦停车库,江宁路445号
884,2109,锦江向阳大楼停车库,南京西路993号
885,2110,御锦轩停车库,凤阳路601号
886,2111,云峰大饭店停车场,北京西路1700号
887,2113,宏安瑞士大酒店停车库,愚园路1号
888,2127,静安立体停车库,愚园支路2号
889,2134,悦达889广场停车库,长寿路1111号
890,2136,静安区中心医院停车库,西康路259号
891,2137,久光百货停车库,愚园路117号
892,2139,创意园停车库,武定路881号
893,2143,静安立安停车库,万航渡路858弄
894,2146,南苏州路1455停车场,南苏州路1455号
895,2148,恒利国际大厦停车场（库）,成都北路199号
896,2149,梅龙镇广场停车库,南京西路1038号
897,2151,美丽园大酒店停车场,延安西路396号
898,2152,梅山大楼停车场（库）,安远路501弄
899,2153,南西地下停车库,南京西路685号
900,2154,南泰大厦停车场（库）,南京西路920号
901,2155,源创创意园停车场,陕西北路600号
902,2156,新时代大厦停车场,吴江路188号
903,2158,上海商城停车场（库）,南京西路1376号
904,2160,旺旺大厦停车场（库）,石门一路211号
905,2163,1788广场停车场（库）,南京西路1788号
906,2164,愚园路156停车场,愚园路156号
907,2165,静安宾馆停车场,华山路370号
908,2166,仲益大厦停车库,南京西路580号
909,2167,上海市总工会静安区工人体育场停车场,胶州路701号
910,2170,通利商厦停车场,南京西路969号
911,2171,同乐坊停车场（库）,海防路537号
912,2172,文新报业大厦停车场（库）,威海路755号
913,2174,现代建筑设计大厦停车场,石门二路258号
914,2175,东海广场停车场（库）,南京西路1486号
915,2176,静安体育馆停车场,南阳路123号
916,2178,上海融通延安饭店停车场（库）,延安中路1111号
917,2179,银发大厦停车场,北京西路1068号
918,2180,静安区运动健身中心停车场（库）,江宁路428号
919,2181,越洋广场停车场（库）,南京西路1601号
920,2184,儿童医院停车场（库）,北京西路1400弄
921,2185,中创大厦停车库,南京西路819号
922,2186,中欣大厦停车场,南京西路1468号
923,2187,中信泰富广场停车场（库）,南京西路1168号
924,2188,吴江路社会停车场,吴江路269号
925,2189,静安紫苑,江宁路356号
926,2190,静安广场停车场（库）,常熟路8号
927,2191,凯迪克大厦停车场（库）,江宁路212号
928,2192,静安嘉里中心停车场（库）,南京西路1515号
929,2193,金峰世纪大厦停车库,万航渡路789号
930,2194,嘉地商务中心停车场（库）,北京西路968号
931,2197,静安晶品购物中心停车场（库）,愚园路68号
932,2198,恒基688广场停车场（库）,南京西路688号
933,2243,宝华现代城商业街停车库,广中路1001号
934,2259,现代交通商务大厦停车库,恒丰路218号
935,2278,北际建材市场停车场,共和新路3230号
936,2553,圣和圣广场停车库,山西北路388弄1-2号
937,2558,祥腾财富广场停车场,共和新路3088弄
938,2584,长泰企业天地广场停车场（库）,海宁路899号
939,2605,大宁德必易园停车场,彭江路602号
940,2607,上海第十人民医院停车场（库）,延长中路301号
941,2610,上海申南文化创意园停车场,灵石路921号
942,2859,新理想大厦停车场（库）,中兴路1500号
943,3191,协信星光广场停车库,江场路1288号
944,3194,丰盛里停车库,茂名北路303弄
945,3196,欣欣广场停车场,老沪太路1号—27号
946,3213,幸福创智园停车场（库）,康宁路1021弄1-4号
947,3223,金融街融汇广场停车库,万航渡路800号
948,3234,孔雀创意园停车场,南山路99号
949,3258,静安华山立体停车库,乌鲁木齐北路505号
950,3273,市北智汇园停车场（库）,汶水路299弄36号
951,3376,幸福现代2停车场,康宁路1211号
952,3377,幸福现代园停车场,康宁路899号
953,3415,本本大厦停车库,西康路300号
954,3425,晶采世纪大厦停车库,威海路567号
955,3459,上海棋院停车库,南京西路595号
956,3499,越商大厦停车库,武宁南路1号
957,3535,兴业太古汇停车库,石门一路288号
958,3586,上海一通国际汽配城停车场,汶水路885号
959,3595,凯德星贸停车库,恒通路268号
960,3671,虬江路894停车场,虬江路894号
961,3753,静安体育中心停车场（库）,共和新路2100号
962,3836,博华广场停车场（库）,新闸路669号
963,3990,海博大楼停车场,共和新路3615、3619、3623号
964,4029,上纺物业·增美园区停车场,江场一路45号
965,4061,华侨城苏河湾停车库,浙江北路9弄55号
966,4069,汇智·园满星空间停车场（库）,江场路1400号
967,4080,华侨城苏河湾停车库,山西北路88号
968,4098,中建幸福公寓停车场（库）,场中路2028弄
969,4128,亚龙创业园停车场（库）,云欣路200弄
970,4134,上海爱以德高平护理院停车场（库）,高平路847号
971,4152,鑫鑫大酒店停车场,共和新路4710号
972,4292,市北医学科创园停车场（库）,云欣路48弄11号、80弄12号
973,4430,上海邮电医院停车场,长乐路666号
974,4658,静安国际中心,裕通路59号
975,4665,上海市皮肤病医院停车场（库）,保德路1278号
976,4901,东海广场停车库,常德路258号
977,4955,巨鹿路758停车场,巨鹿路758号
978,4996,眼科医院停车场,静安区康定路380号
979,5005,阿波罗大厦,延安中路1440号
980,5026,光明地产大厦停车库,西藏北路199号
981,5038,中国石化大统路停车场,天目中路620号
982,5099,盈凯文创广场停车库,西藏北路88号
983,5108,一天下大厦停车场,恒通路360号
984,5173,上海市中医医院停车场,芷江中路274号
985,5193,上海九楚实业有限公司停车场,平型关路1051号
986,5202,新业坊停车场,汶水路210号
987,5241,金融街融泰中心停车库,中兴路1529弄
988,5268,市北数智大厦停车场（库）,江场西路510弄
989,1453,长安大厦停车库,长安路1001号
990,2201,申航大厦停车场（库）,中山北路198号
991,2202,上海广场长城假日酒店停车场（库）,恒丰路585号
992,2203,华东大酒店停车场,天目西路111号
993,2206,鹏程宝都停车库,汾西路485弄
994,2207,新七浦服装市场停车库,河南北路183号
995,2208,上海市好唯加食品有限公司停车场,中山北路588号
996,2212,锦荣国际大酒店停车场（库）,共和新路2750号
997,2214,上海市静安区闸北中心医院停车场,中华新路619号
998,2215,华龙大酒店停车场,沪太路365号
999,2217,白马大厦停车场（库）,塘沽路973号
1000,2219,嘉里不夜城停车库,天目西路218号
1001,2221,林顿大厦停车场（库）,恒丰北路100号
1002,2222,豪浦服饰城停车库,七浦路225号
1003,2223,恒基不夜城停车场（库）,天目西路547号
1004,2224,上海马戏城停车库,共和新路2266号
1005,2225,上海长途客运总站停车库,中兴路1666号
1006,2226,上海中亚美爵酒店停车场,秣陵路210号
1007,2228,协和大厦停车场,中山北路808号
1008,2229,市北饭店停车场,汶水路273号
1009,2231,上海铁路宏鹏旅游社停车场,秣陵路355号
1010,2236,上海铁路宏鹏旅行社停车场,太阳山路660号
1011,2237,上海铁路宏鹏旅行社停车场,秣陵路81号
1012,2239,秣陵路303停车场,秣陵路303号
1013,2242,大宁商业广场停车库,共和新路1868号--2008号
1014,2245,上纺物业·印针园区停车库,沪太路671号
1015,2249,新柳营灯饰广场停车场（库）,民和路153号
1016,2250,恒丰路光复路停车场,恒丰路桥苏州河北侧（光复-长安）桥孔
1017,2251,七浦路服装批发市场停车场（库）,七浦路303号
1018,2255,帝芙特国际茶文化广场停车场,中山北路585号
1019,2256,大统路1098停车场,大统路1098号
1020,2257,铭德大酒店停车库,西藏北路558号
1021,2258,蓝天绿地商务广场停车场,共和新路1301号
1022,2263,大润发停车场,共和新路3318号
1023,2264,上海大学停车场,延长路149号
1024,2265,上海国联停车场   ,共和新路3661号
1025,2267,多媒体产业园停车场（库）,广中西路757号
1026,2268,共和国际商务广场停车场（库）,场中路2250号
1027,2269,宝矿洲际商务中心停车库,天目西路426号
1028,2274,108广场停车场（库）,民和路166号
1029,2279,恒通大厦停车场（库）,恒通路222号
1030,2280,珠江创意中心停车场（库）,灵石路695号
1031,2282,上海乾通投资发展有限公司停车场,共和新路3200号
1032,2285,武夷商务园停车场,虬江路865号
1033,2474,芷新停车场,临汾路700号
1034,2545,中房华东大厦停车场（库）,长安路1138号
1035,2546,外贸锦程大厦停车场（库）,天目西路511号
1036,2548,沪太长途客运站停车场,沪太路605号
1037,2549,汶水路P+R停车场,共和新路3070号
1038,2550,上海大悦城停车库,西藏北路166号
1039,2552,蓝天绿地商务广场停车场,共和新路1301号
1040,2554,苏河一号停车场（库）,恒丰路630~698号
1041,2555,磐石国际大厦停车场（库）,江场西路395号
1042,2556,V领地青年社区停车场,共和新路1207号
1043,2557,恒汇国际大厦停车场（库）,恒丰路568号
1044,2562,新华园停车场,沪太路785号
1045,2564,上海市静安区市北医院停车场,共和新路4500号
1046,2569,环智国际大厦停车库,恒丰路436号
1047,2570,东方环球企业中心停车场（库）,永和路118弄41、42、43号
1048,2571,武夷休闲广场停车场,公兴路88号
1049,2574,上海大宁国际茶城停车场,共和新路1536号
1050,2575,中铁中环时代广场停车场（库）,江场西路299弄
1051,2576,五月花生活广场停车库,普善横路55弄
1052,2579,企业广场停车场（库）,梅园路228号
1053,2583,隆宇国际商务广场停车场（库）,民立路266号
1054,2585,运城路625停车场,运城路625号
1055,2586,机电大厦停车场（库）,恒丰路600号
1056,2587,大宁财智中心停车库,灵石路658号
1057,2588,巨丰商务广场停车场,平陆路261弄11号
1058,2589,盛源生活广场停车场,柳营路777号
1059,2593,越界乐平方停车场（库）,灵石路721号
1060,2595,雍和创智广场停车场,永和支路195号
1061,2596,四行195创意园区停车库,光复路195号
1062,2597,通用大厦停车场（库）,共和新路1346号
1063,2599,上海百富大酒店停车场（库）,西藏北路1599号
1064,2608,大宁中心广场停车场,万荣路700号
1065,2611,北站医院停车场（库）,天目中路538弄
1066,2613,和典创意园停车场,江场西路180号
1067,2619,灵石路1197停车场,灵石路1197号
1068,2620,四行天地停车库,西藏北路18号
1069,2623,大宁小城停车场,广中西路756号
1070,2624,东方丽晶停车场（库）,洛川东路321号
1071,2625,共和新路307停车场,共和新路307号甲
1072,2626,宝源路30停车场,宝源路30号
1073,2627,秀709媒体园停车场,灵石路709号
1074,2628,幸福饭店停车场,场中路2260号
1075,2630,万荣路1218停车场,万荣路1218弄5-6号
1076,2631,上海新慧谷科技产业园停车场,沪太路799号
1077,2636,莱赛港停车场,江场西路220号
1078,2639,市北·云立方云计算产业基地停车场（库）,万荣路1268号
1079,2766,京江路313停车场,京江路313号
1080,2827,大宁音乐广场停车场（库）,万荣路777弄
1081,2828,绿地中央广场停车场（库）,江场路1377弄29、30号
1082,2829,柳营路999停车场,柳营路999弄
1083,2840,达邦协作广场停车场（库）,恒丰路399号
1084,2842,企业中心停车场（库）,共和路195号
1085,2928,健康智谷大厦停车场（库）,灵石路697号
1086,2946,金谷中环大厦停车场（库）,江场路1313号
1087,2952,飞马旅园区停车场（库）,沪太支路538号
1088,2955,上海苏河湾大厦停车场（库）,恒通路151号
1089,2958,美邦大厦停车场（库）,江场西路160号
1090,2962,彭浦产业园二期停车场,沪太支路768弄
1091,2963,上海彭浦科技园停车场,江场西路1577弄
1092,2965,锦江都城酒店停车场,康宁路852号
1093,3028,上海钟厂停车场（库）,延长中路625号
1094,3199,宁汇广场停车库,灵石路718号
1095,3228,上海铁路北郊站停车场,寿阳路1500号
1096,3291,大宁创景空间招商中心停车库,永和路455号
1097,3293,卜蜂莲花汶水路店停车场,汶水路886号
1098,3294,卜蜂莲花保德路店停车场,保德路88号
1099,3298,市北新中新停车场（库）,寿阳路99弄
1100,3361,大场停车场,沪太支路900号
1101,3367,宏慧新汇园停车场（库）,共和新路4718弄
1102,3378,南北高架广中路停车场,南北高架东侧广中路上匝道、下匝道
1103,3379,宝华国际广场停车库,广中西路555号
1104,3426,云仓891停车场,灵石路891号
1105,3428,大宁858停车场（库）,万荣路858弄
1106,3505,共和新路中山北路停车场,共和新路桥下空地
1107,3640,中山北路沪太路停车场,中山北路南侧沪太路之间闸道阴影部分
1108,3759,宏慧·视界BOX停车场（库）,汶水路40号
1109,3896,上海静安万枫酒店停车库,共和新路1500号
1110,3897,诺诚1895创意园停车场,沪太路1895弄51号
1111,3899,共和新路天目中路停车场,共和新路辅路NX185-186间
1112,3946,兰城商厦、万豪公寓停车场,七浦路328弄1号
1113,3964,宝华中心停车库,广中西路355号
1114,3976,歌林商务大厦停车场（库）,大宁路701号
1115,4103,兴中兴创意园区停车场,西藏北路605号
1116,4116,新普荟商业广场停车场,灵石路851号
1117,4136,静安大融城,沪太路1111弄
1118,4362,洛川中路701停车场,洛川中路701号
1119,4393,哈瑞中心停车库,寿阳路555号
1120,4466,泰禾大厦停车库,汉中路243号
1121,4476,市北壹中心停车场（库）,江场路1401弄2号、34号、共和新路3457号
1122,4550,大宁商务中心停车场（库）,广中西路699号
1123,4587,四行仓库停车库,光复路1号
1124,4895,金水湾大酒店停车场（库）,恒丰路308号
1125,4913,双鸿大楼停车场,沪太路1128号
1126,4964,大众东朔空间停车库,汶水路451号
1127,4973,永鼎大厦停车场（库）,共和新路3388号
1128,926,上海丰柏物业管理有限公司,龙茗路1025号
1129,928,上海金汇广场,红松路148号
1130,936,上海友谊南方商城有限公司,沪闵路7388号
1131,937,上海九宇经贸合作公司,莘松路359号
1132,939,上海华勤物业管理有限公司,延安西路3062弄18号
1133,944,上海福乐山庄有限公司,沈杜公路2888号
1134,948,上海港浩塑业有限公司,都会路258号
1135,951,凯德龙城（上海）商用置业有限公司,七莘路3655号
1136,954,上海宝利实业有限公司,七莘路2888号
1137,956,上海市精神卫生中心分部烟糖商店,沪闵路3210号
1138,967,上海鑫铭物业管理有限公司,新镇路456号
1139,969,上海锦江乐园有限公司,虹梅路201号
1140,971,上海七宝古镇实业发展有限公司,浴堂街7号
1141,974,上海淳盈综合服务有限公司第四分公司,水清路1099号
1142,975,双泽缘停车场,七莘路1218号
1143,977,上海申马房地产实业有限公司,北松路1711号
1144,983,上海合川置业有限公司,宜山路2016号
1145,986,上海紫竹信息数码港有限公司,东川路555号
1146,987,上海光泽医院有限公司,红松路154-156号
1147,988,上海卫兴实业公司,鹤庆路801号
1148,990,上海卫闵贸易有限公司,莘松路170号
1149,993,上海和斯娱乐有限公司,新镇路78号
