,Name,obs Mode,J2000_RA,J2000_Dec
28,blanksky21,Point,193.2758,68.4275
69,blanksky5,Point,352.7624,-70.3217
70,blanksky6,Point,322.5919,-23.0951
71,blanksky8,Point,50.1817,17.5512
,Name,obs Mode,J2000_RA,J2000_Dec
52,4U 1636-536,Point,250.2312,-53.7513
40,4U 1636-536,Point,250.2312,-53.7513
33,4U 1636-536,Point,250.2312,-53.7514
67,4U 1636-536,Point,250.2312,-53.7514
27,4U 1636-536,Point,250.2312,-53.7514
56,Aql X-1,Point,287.8171,0.58494
37,Aql X-1,Point,287.8171,0.58494
26,Aql X-1,Point,287.8171,0.58494
87,Aql X-1,Point,287.8171,0.58494
44,Aql X-1,Point,287.8171,0.58494
21,Aql X-1,Point,287.8171,0.58494
91,Aql X-1,Point,287.8171,0.58494
14,Aql X-1,Point,287.8171,0.58494
69,Aql X-1,Point,287.8171,0.58494
100,Aql X-1,Point,287.8171,0.58494
2,Aql X-1,Point,287.8171,0.58494
64,Cas A,Point,350.85,58.815
3,Cir X-1,Point,230.1702,-57.1667
43,Cir X-1,Point,230.1702,-57.1667
13,Cir X-1,Point,230.1702,-57.1667
81,Cir X-1,Point,230.1702,-57.1667
89,Cir X-1,Point,230.1702,-57.1667
55,Cir X-1,Point,230.1702,-57.1667
68,Cir X-1,Point,230.1702,-57.1667
36,Cir X-1,Point,230.1702,-57.1667
25,Cir X-1,Point,230.1702,-57.1667
129,Crab,Point,83.6331,22.0145
12,EXO 1846-031,Point,282.3205,-3.0654
54,EXO 1846-031,Point,282.3205,-3.0654
42,EXO 1846-031,Point,282.3205,-3.0654
35,EXO 1846-031,Point,282.3205,-3.0654
132,EXO 1846-031,Point,282.3205,-3.0654
80,EXO 1846-031,Point,282.3205,-3.0654
24,EXO 1846-031,Point,282.3205,-3.0654
127,EXO 1846-031,Point,282.3205,-3.0654
117,EXO 1846-031,Point,282.3205,-3.0654
110,EXO 1846-031,Point,282.3205,-3.0654
88,EXO 1846-031,Point,282.3205,-3.0654
99,EXO 1846-031,Point,282.3205,-3.0654
65,EXO 1846-031,Point,282.3205,-3.0654
22,GRS 1915+105,Point,288.7981,10.9458
131,GX 17+2,Point,274.0058,-14.0363
128,GX 17+2,Point,274.0058,-14.0363
90,GX 17+2,Point,274.0057,-14.0362
15,GX 17+2,Point,274.0058,-14.0363
1,GX 349+2,Point,256.4354,-36.4231
34,Sco X-1,Point,244.9795,-15.6403
66,Sco X-1,Point,244.9795,-15.6403
23,Sco X-1,Point,244.9795,-15.6403
45,Sco X-1,Point,244.9795,-15.6403
57,Sco X-1,Point,244.9795,-15.6403
38,Sco X-1,Point,244.9795,-15.6403
53,Sco X-1,Point,244.9795,-15.6403
41,Sco X-1,Point,244.9795,-15.6403
82,blank_sky2,Point,57.3952,-24.3781
85,blanksky10,Point,345.6353,27.1995
30,blanksky10,Point,345.6353,27.1995
86,blanksky11,Point,319.0534,3.8279
31,blanksky14,Point,258.4627,57.472
83,blanksky5,Point,352.7624,-70.3217
32,blanksky5,Point,352.7624,-70.3217
28,blanksky6,Point,322.5919,-23.0951
84,blanksky6,Point,322.5919,-23.0951
29,blanksky8,Point,50.1817,17.5512
,Name,obs Mode,J2000_RA,J2000_Dec
112,Aql X-1,Point,287.8171,0.58494
61,Aql X-1,Point,287.8171,0.58494
68,Aql X-1,Point,287.8171,0.58494
75,Aql X-1,Point,287.8171,0.58494
54,Aql X-1,Point,287.8171,0.58494
51,Aql X-1,Point,287.8171,0.58494
49,Aql X-1,Point,287.8171,0.58494
79,Aql X-1,Point,287.8171,0.58494
85,Aql X-1,Point,287.8171,0.58494
89,Aql X-1,Point,287.8171,0.58494
96,Aql X-1,Point,287.8171,0.58494
93,Aql X-1,Point,287.8171,0.58494
65,Aql X-1,Point,287.8171,0.58494
100,Aql X-1,Point,287.8171,0.58494
103,Aql X-1,Point,287.8171,0.58494
50,Cas A,Point,350.85,58.815
64,Cen X-3,Point,170.3129,-60.6238
97,Cen X-3,Point,170.3129,-60.6238
25,Cen X-3,Point,170.3129,-60.6238
94,Cir X-1,Point,230.1702,-57.1667
39,Cir X-1,Point,230.1702,-57.1667
29,Cir X-1,Point,230.1702,-57.1667
78,Cir X-1,Point,230.1702,-57.1667
