cntr_mf,source_id_mf,ra,dec,nb,na,cc_flags,cat,cntr,frame_id,mjd,w1mpro_ep,w1sigmpro_ep,w1rchi2_ep,w2mpro_ep,w2sigmpro_ep,w2rchi2_ep,w3mpro_ep,w3sigmpro_ep,w3rchi2_ep,w4mpro_ep,w4sigmpro_ep,w4rchi2_ep,w1flux_ep,w1sigflux_ep,w2flux_ep,w2sigflux_ep,w3flux_ep,w3sigflux_ep,w4flux_ep,w4sigflux_ep,w1x_ep,w1y_ep,w2x_ep,w2y_ep,w3x_ep,w3y_ep,w4x_ep,w4y_ep,qi_fact,saa_sep,moon_masked,load_id,x,y,z,spt_ind,htm20
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210010,01053a090,55214.36574910,9.610,0.019,3.472,8.797,0.022,2.031,6.123,0.015,0.843,4.130,0.044,2.878,22702.2285,402.5370,19109.6289,379.2000,56337.9609,768.2540,3533.0449,141.8730,264.368,356.069,265.021,356.453,262.966,357.410,131.995,179.070,1.0,101,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210011,01057a090,55214.49805380,9.616,0.033,3.386,8.751,0.020,2.837,6.138,0.017,0.921,4.199,0.046,3.015,22566.5996,683.7850,19937.8848,372.2280,55582.2695,866.4340,3314.1970,141.1660,67.837,102.064,68.466,103.344,64.048,106.473,33.951,53.542,1.0,59,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210012,06697b188,55401.10061550,9.683,0.023,2.976,8.840,0.018,1.726,6.122,0.021,0.841,4.182,0.031,2.953,21218.9062,454.6240,18373.1934,309.6650,56371.2070,1089.0070,3367.8560,96.1090,40.711,394.143,42.827,395.538,39.690,397.266,20.328,197.930,1.0,27,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210013,06701b189,55401.23291930,9.661,0.024,3.022,8.869,0.020,1.740,6.133,0.022,0.888,4.140,0.057,2.879,21665.3926,470.8250,17877.0781,336.1410,55829.7227,1135.7360,3498.4121,183.4570,206.178,455.563,207.601,456.192,205.733,456.921,102.925,228.274,1.0,8,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210014,06705b189,55401.36522310,9.708,0.023,3.024,8.861,0.020,1.718,6.133,0.018,0.888,4.145,0.035,2.882,20738.3887,439.9810,18021.5332,331.6180,55834.4062,942.1810,3484.8091,111.4990,368.324,534.601,369.123,534.504,368.619,534.153,183.891,267.343,1.0,-3,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210007,01045a091,55214.10113960,9.611,0.023,3.450,8.817,0.018,1.836,6.106,0.016,0.834,4.159,0.042,2.899,22670.0020,470.3860,18755.9707,312.7480,57241.1328,858.8770,3439.1809,132.0520,663.113,833.776,663.463,832.424,666.336,829.308,331.174,415.281,1.0,48,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210017,06713b189,55401.62983060,9.739,0.023,3.216,8.897,0.022,1.902,6.110,0.015,0.828,4.150,0.053,2.887,20163.6699,427.0560,17433.5020,348.5430,57028.9102,789.9940,3466.9221,169.5570,699.445,645.497,698.727,643.962,700.787,641.580,349.307,322.135,1.0,61,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210001,01030a114,55213.63788210,9.601,0.022,3.610,8.771,0.017,2.416,,,,,,,22897.9570,454.4670,19567.8984,302.9660,,,,,849.317,282.358,846.100,280.157,,,,,1.0,18,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210002,01034a114,55213.77018690,9.615,0.024,3.402,8.790,0.021,2.120,6.070,0.019,1.125,4.169,0.031,2.919,22592.5176,508.3380,19234.0293,376.6710,59168.1055,1011.4660,3407.4600,98.7320,651.035,44.939,648.104,43.573,646.620,44.439,325.162,25.118,1.0,1,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210006,01042a115,55214.03492360,9.613,0.022,3.435,8.791,0.022,2.111,6.121,0.022,0.837,4.140,0.050,2.879,22646.3223,459.7430,19222.0117,380.6880,56431.4688,1168.0811,3499.1760,159.5800,227.910,508.084,229.418,508.610,227.960,508.977,113.759,254.236,1.0,26,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210004,01038a115,55213.90261890,9.630,0.022,3.234,8.815,0.017,1.853,6.106,0.016,0.834,4.066,0.027,3.038,22285.9219,448.1340,18794.6484,299.4590,57247.0234,821.2010,3744.8301,91.4810,447.164,725.983,448.308,725.534,449.309,723.919,223.261,361.985,1.0,-4,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210005,01041a090,55213.96870760,9.614,0.026,3.416,8.789,0.020,2.127,6.106,0.014,0.834,4.127,0.028,2.879,22615.4512,540.4200,19242.9551,354.8510,57233.1719,728.3700,3541.7839,90.5170,886.111,138.712,882.070,136.342,882.443,135.653,442.511,71.430,1.0,8,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
367009101351026021,0367m091_ac51-026021,37.5230272,-8.9981209,1,0,0000,1,367009110260210003,01034a115,55213.77031420,9.628,0.023,3.249,8.736,0.018,3.202,6.096,0.021,0.869,4.127,0.036,2.879,22317.0059,468.7140,20205.4160,341.8790,57740.3047,1107.6210,3542.5171,116.5070,648.234,960.735,649.248,959.488,652.727,955.855,323.753,478.103,1.0,2,0000,1028,0.7833482002151479,0.6015845651399140,-0.1564020722532470,100202322,8946043696261
