,No.,Observed Passband,Measurement,Uncertainty,Units,Freq (Hz),Measurement.1,Uncertainty.1,Units.1,Mode,Aperture/Qualifiers,Reference Code,No..1
62,63,V (Johnson)          , 15.50                         ,+/- 0.35   ,milliJy              ,542000000000000.0,0.0155,+/- 3.50E-04 ,Jy                   ,"Broad-band
","29.3"" aperture                          ",1983ApJS...52..341M,63
63,64,V (Johnson)          , 15.68                         ,           ...,mag                  ,542000000000000.0,0.00195,    ...      ,Jy                   ,"Broad-band
",Bulge magnitude                         ,2009ApJ...694L.166B,64
64,65,F606W (HST)          , 14.79                         ,+/- 0.21   , mag                 ,505000000000000.0,0.00413,+/- 7.98E-04 ,Jy                   ,"Broad-band
",Bulge mag; r^1/4^-law fit               ,2004ApJ...615..652N,65
65,66,r (KPNO)             , 12.66                         ,           ...,mag                  ,479000000000000.0,0.0269,    ...      ,Jy                   ,"Broad-band
",Host mag; AGN contamination removed     ,2011ApJ...739...57K,66
66,67,r (SDSS Model) AB    , 12.872                        ,+/- 0.002  ,asinh mag            ,477000000000000.0,0.0258,+/- 4.75E-05 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,67
67,68,r (SDSS CModel) AB   , 12.872                        ,           ...,asinh mag            ,477000000000000.0,0.0258,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,68
68,69,r (SDSS PSF) AB      , 15.495                        ,+/- 0.018  ,asinh mag            ,477000000000000.0,0.0023,+/- 3.82E-05 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,69
69,70,F_pg                 , 13.                           ,+/- 0.3    , mag                 ,468000000000000.0,0.0194,+/- 5.37E-03 ,Jy                   ,"Broad-band
",Isophotal mag                           ,2007ApJS..170...33P,70
70,71,R (Johnson)          , 22.56                         ,+/- 0.53   ,milliJy              ,428000000000000.0,0.0226,+/- 5.30E-04 ,Jy                   ,"Broad-band
","29.3"" aperture                          ",1983ApJS...52..341M,71
71,72,R (Johnson)          , 12.96                         ,+/- 0.02   ,mag                  ,428000000000000.0,0.0182,+/- 3.38E-04 ,Jy                   ,"Broad-band
","25"" aperture                            ",1979SvAL....5..305D,72
72,73,i (SDSS CModel) AB   , 12.481                        ,           ...,asinh mag            ,389000000000000.0,0.037,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,73
73,74,i (SDSS PSF) AB      , 15.321                        ,+/- 0.016  ,asinh mag            ,389000000000000.0,0.0027,+/- 3.98E-05 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,74
74,75,i (SDSS Model) AB    , 12.476                        ,+/- 0.002  ,asinh mag            ,389000000000000.0,0.0371,+/- 6.84E-05 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,75
75,76,i (KPNO)             , 12.200                        ,           ...,mag                  ,388000000000000.0,0.0331,    ...      ,Jy                   ,"Broad-band
",Host mag; AGN contamination removed     ,2011ApJ...739...57K,76
76,77,I (MAGNUM)           , 10.26                         ,+/- 0.09   ,milliJy              ,362000000000000.0,0.0103,+/- 9.00E-05 ,Jy                   ,"Broad-band
","8.3"" aperture                           ",2010ApJ...711..461S,77
77,78,I (Johnson)          , 24.58                         ,+/- 1.02   ,milliJy              ,333000000000000.0,0.0246,+/- 1.02E-03 ,Jy                   ,"Broad-band
","29.3"" aperture                          ",1983ApJS...52..341M,78
78,79,z (SDSS CModel) AB   , 12.313                        ,           ...,asinh mag            ,325000000000000.0,0.0424,    ...      ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,79
79,80,z (SDSS Model) AB    , 12.199                        ,+/- 0.002  ,asinh mag            ,325000000000000.0,0.047,+/- 8.66E-05 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,80
80,81,z (SDSS PSF) AB      , 14.949                        ,+/- 0.021  ,asinh mag            ,325000000000000.0,0.00374,+/- 7.23E-05 ,Jy                   ,"Broad-band
",SDSS Qualifiers ,2007SDSS6.C...0000:,81
81,82,z (KPNO)             , 12.130                        ,           ...,mag                  ,319000000000000.0,0.0308,    ...      ,Jy                   ,"Broad-band
",Host mag; AGN contamination removed     ,2011ApJ...739...57K,82
82,83,J (2MASS/CTIO)       , 11.981                        ,+/- 0.004  ,mag                  ,243000000000000.0,0.0257,+/- 9.47E-05 ,Jy                   ,"Broad-band
","4"" aperture                             ",2006AJ....131.1163S,83
83,84,J (2MASS/CTIO)       , 12.418                        ,+/- 0.065  ,mag                  ,243000000000000.0,0.0172,+/- 1.03E-03 ,Jy                   ,"Broad-band
",Profile-fit; Poor quality               ,2006AJ....131.1163S,84
84,85,J                    , 10.925                        ,+/- 0.016  ,mag                  ,240000000000000.0,0.0679,+/- 1.01E-03 ,Jy                   ,"Broad-band
",  54.6 x   48.0 arcsec integration area.,20032MASX.C.......:,85
85,86,J                    , 10.761                        ,+/- 0.020  ,mag                  ,240000000000000.0,0.079,+/- 1.47E-03 ,Jy                   ,"Broad-band
",                                        ,20032MASX.C.......:,86
86,87,J_14arcsec (2MASS)   , 11.620                        ,+/- 0.005  ,mag                  ,240000000000000.0,0.0358,+/- 1.65E-04 ,Jy                   ,"Broad-band
",14.0 x 14.0 arcsec aperture.            ,20032MASX.C.......:,87
87,88,Pa{beta} (IRTF)      , 1.46E-14                      ,           ...,erg/s/cm^2^          ,234000000000000.0,1460000000.0,    ...      ,Jy-Hz                ,"Line
",                                        ,2010ApJ...724..386K,88
