1.122018e-02 3.563983e-03 0.000000e+00 4.971e-04 4.929e-04 1.306e-04 4.081e-04   9.542e-05 1.260e-04 5.684e-04 3.131e-04   2.330e-04 4.715e-04 0.000e+00 1.146e-05   2.608e-04 1.811e-04 4.872e-04 2.168e-04   2.605e-04 2.246e-04 0.000e+00 0.000e+00   1.421e-04 1.994e-04 3.770e-05 2.262e-04   2.530e-04 1.052e-04 3.050e-04 3.447e-04   3.275e-04 2.658e-04 1.802e-04 4.281e-04   1.762e-05 0.000e+00 2.329e-04 7.816e-05   6.947e-08 1.079e-04 3.091e-06 6.301e-05   
1.412538e-02 5.683631e-03 0.000000e+00 5.232e-04 5.499e-04 8.526e-04 9.183e-05   5.173e-04 1.453e-04 2.571e-04 3.129e-04   5.544e-04 1.435e-04 6.617e-04 1.678e-04   6.843e-04 3.407e-04 2.590e-04 8.238e-06   1.531e-04 7.342e-04 6.090e-05 2.784e-04   5.882e-04 7.986e-04 2.369e-04 3.587e-04   6.182e-04 7.357e-04 4.431e-06 4.711e-04   5.395e-04 1.932e-04 1.656e-04 3.153e-04   3.711e-05 6.692e-04 0.000e+00 1.228e-04   5.184e-04 5.723e-05 7.409e-04 2.559e-04   
1.778279e-02 8.121580e-03 0.000000e+00 2.118e-03 4.757e-04 9.916e-04 9.099e-04   3.530e-04 8.515e-05 6.081e-04 3.496e-04   5.477e-04 1.206e-04 1.335e-04 3.390e-04   4.855e-04 4.138e-04 1.204e-04 3.294e-04   4.196e-04 1.217e-04 6.668e-05 5.081e-04   4.907e-04 5.862e-08 5.445e-06 4.317e-04   2.068e-05 2.341e-04 3.961e-04 2.104e-04   3.293e-05 4.178e-04 1.887e-04 3.224e-04   2.851e-04 1.176e-04 2.091e-04 2.712e-04   5.316e-06 2.702e-04 1.347e-04 0.000e+00   
2.238721e-02 1.177642e-02 0.000000e+00 1.560e-03 2.524e-04 1.232e-03 8.437e-04   2.265e-03 8.389e-04 3.992e-04 9.592e-04   6.813e-04 1.929e-04 7.019e-04 2.753e-04   6.069e-04 5.459e-04 2.647e-04 7.330e-04   1.247e-03 4.303e-05 9.956e-05 5.942e-04   8.154e-04 2.972e-04 8.975e-04 2.947e-04   5.443e-04 6.157e-04 3.225e-04 6.060e-04   1.426e-04 7.253e-04 9.710e-04 6.293e-04   3.638e-04 6.292e-04 2.358e-04 1.299e-04   4.262e-04 4.609e-04 8.048e-04 2.616e-04   
2.818383e-02 1.657597e-02 0.000000e+00 2.229e-03 1.180e-03 3.470e-03 1.030e-03   1.877e-03 1.287e-03 1.244e-03 8.615e-04   2.027e-03 9.541e-04 4.219e-04 4.360e-04   1.545e-03 4.023e-04 9.423e-04 1.034e-03   9.513e-04 2.178e-04 4.073e-04 7.943e-04   1.483e-03 4.780e-05 2.180e-04 3.683e-04   7.413e-04 1.412e-03 6.030e-06 9.765e-04   7.889e-04 2.715e-04 7.287e-04 1.731e-04   7.539e-04 6.804e-04 8.081e-04 6.144e-04   6.485e-06 8.180e-04 5.139e-04 3.964e-04   
3.548134e-02 2.600189e-02 0.000000e+00 5.374e-03 1.214e-03 1.826e-03 3.307e-03   2.317e-03 7.441e-04 2.032e-03 1.521e-03   2.819e-03 1.574e-03 1.953e-03 1.054e-03   1.846e-03 1.893e-03 1.509e-03 1.073e-03   3.119e-03 9.690e-04 1.124e-04 9.316e-04   2.322e-03 1.687e-03 2.761e-04 4.549e-04   1.051e-03 9.315e-04 1.118e-03 1.064e-03   1.382e-03 9.133e-04 1.064e-03 3.556e-04   1.038e-03 8.919e-04 8.359e-04 1.327e-03   1.134e-03 5.633e-04 9.108e-04 6.317e-04   
4.466836e-02 3.414141e-02 0.000000e+00 3.983e-03 1.508e-03 4.106e-03 3.120e-03   4.663e-03 2.059e-03 2.458e-03 1.964e-03   2.634e-03 1.468e-03 3.800e-03 2.522e-03   2.752e-03 1.574e-03 5.147e-04 1.384e-03   2.149e-03 1.837e-03 5.454e-04 1.659e-03   1.127e-03 2.074e-03 1.792e-03 1.444e-03   1.504e-03 1.162e-03 1.222e-03 1.508e-03   1.406e-03 1.231e-03 1.050e-03 1.213e-03   3.767e-04 1.904e-03 8.866e-04 1.358e-03   7.395e-04 5.416e-04 2.338e-03 8.697e-04   
5.623413e-02 4.787934e-02 0.000000e+00 6.111e-03 2.789e-03 5.476e-03 3.095e-03   4.556e-03 1.957e-03 3.755e-03 4.222e-03   5.189e-03 2.409e-03 3.701e-03 2.374e-03   4.915e-03 1.421e-03 2.081e-03 3.167e-03   5.474e-03 2.949e-03 1.289e-03 2.163e-03   3.104e-03 2.995e-03 9.235e-04 2.609e-03   2.950e-03 1.207e-03 9.650e-04 2.140e-03   9.661e-04 2.873e-03 1.238e-03 2.064e-03   1.995e-03 2.337e-03 1.991e-03 7.283e-04   1.178e-03 1.311e-03 1.478e-03 1.568e-03   
7.079458e-02 6.547631e-02 0.000000e+00 5.910e-03 3.844e-03 6.225e-03 2.271e-03   7.564e-03 4.121e-03 6.813e-03 2.770e-03   6.533e-03 4.830e-03 6.077e-03 3.894e-03   5.533e-03 2.181e-03 4.845e-03 4.063e-03   4.686e-03 5.243e-03 1.151e-03 5.523e-03   4.876e-03 3.049e-03 3.847e-04 1.582e-03   3.592e-03 3.914e-03 5.939e-04 2.552e-03   2.474e-03 2.129e-03 2.211e-03 3.511e-03   4.178e-03 1.744e-03 2.107e-03 3.058e-03   2.702e-03 2.999e-03 2.184e-03 1.443e-03   
8.912509e-02 8.933875e-02 0.000000e+00 9.801e-03 4.144e-03 9.251e-03 5.593e-03   6.783e-03 4.187e-03 6.543e-03 5.264e-03   1.096e-02 6.998e-03 9.225e-03 4.035e-03   9.601e-03 5.202e-03 2.698e-03 4.236e-03   8.136e-03 3.838e-03 2.606e-03 4.823e-03   6.831e-03 3.868e-03 2.320e-03 4.269e-03   6.162e-03 3.785e-03 1.931e-03 5.343e-03   5.428e-03 2.823e-03 2.399e-03 5.051e-03   2.963e-03 3.597e-03 3.578e-03 4.394e-03   2.343e-03 3.983e-03 2.320e-03 2.080e-03   
